Name,Medium,Year,Creator
"Darth Vader","Star Wars",1977,"George Lucas"
"Darth Maul","Star Wars",1999,"George Lucas"
"Yoda","Star Wars",1980,"George Lucas"
"Sauron","The Fellowship of the Ring",1954,"J.R.R. Tolkien"
"Gandalf","The Hobbit",1937,"J.R.R. Tolkien"
"Harry Potter","Harry Potter and the Philosopher's Stone",1997,"J.K. Rowling"
"Hermione Granger","Harry Potter and the Philosopher's Stone",1997,"J.K. Rowling"
"Ron Weasley","Harry Potter and the Philosopher's Stone",1997,"J.K. Rowling"
"Newt Scamander","Fantastic Beasts and Where to Find Them", 2001,"J.K. Rowling"
"Merlin","The Story of King Arthur and His Knights", 1903,"Howard Pyle"
